{'avg': 160.19999999999999, 'std': 13.127071265137552, 'min': 141.0, 'max': 186.0}
{'avg': 159.24000000000001, 'std': 13.732530720883169, 'min': 141.0, 'max': 186.0}
{'avg': 159.16, 'std': 13.525324395370339, 'min': 130.0, 'max': 186.0}
{'avg': 156.47999999999999, 'std': 13.508871159353028, 'min': 140.0, 'max': 186.0}
{'avg': 158.24000000000001, 'std': 12.934542898765304, 'min': 141.0, 'max': 186.0}
{'avg': 161.0, 'std': 12.283322026227269, 'min': 141.0, 'max': 179.0}
{'avg': 188.96000000000001, 'std': 56.453506534138342, 'min': 141.0, 'max': 300.0}
{'avg': 193.12, 'std': 60.7429469156708, 'min': 141.0, 'max': 300.0}
{'avg': 131.43333333333334, 'std': 21.897767516854824, 'min': 100.0, 'max': 176.0}
{'avg': 141.45714285714286, 'std': 25.51564546048769, 'min': 100.0, 'max': 178.0}
{'avg': 140.52500000000001, 'std': 24.660684803954656, 'min': 100.0, 'max': 178.0}
{'avg': 140.95555555555555, 'std': 25.853394838809042, 'min': 100.0, 'max': 179.0}
{'avg': 144.36000000000001, 'std': 22.401571373455035, 'min': 100.0, 'max': 178.0}
{'avg': 145.27272727272728, 'std': 20.928844424038797, 'min': 100.0, 'max': 177.0}
{'avg': 147.19999999999999, 'std': 21.695468036742913, 'min': 100.0, 'max': 184.0}
{'avg': 148.50769230769231, 'std': 23.535324074461794, 'min': 100.0, 'max': 181.0}
{'avg': 150.75714285714287, 'std': 21.081092215053559, 'min': 92.0, 'max': 177.0}
{'avg': 153.53333333333333, 'std': 20.736012688610661, 'min': 92.0, 'max': 183.0}
{'avg': 152.66249999999999, 'std': 20.890155426659707, 'min': 92.0, 'max': 184.0}
{'avg': 154.84705882352941, 'std': 20.094778884284956, 'min': 87.0, 'max': 184.0}
{'avg': 155.34444444444443, 'std': 18.465680545939577, 'min': 87.0, 'max': 184.0}
{'avg': 154.86315789473684, 'std': 18.852117304690371, 'min': 87.0, 'max': 184.0}
{'avg': 152.28, 'std': 19.797009875231158, 'min': 87.0, 'max': 184.0}
{'avg': 152.22857142857143, 'std': 18.931584665821919, 'min': 87.0, 'max': 186.0}
{'avg': 153.28181818181818, 'std': 19.680692808473172, 'min': 87.0, 'max': 186.0}
{'avg': 153.19999999999999, 'std': 20.886109384406456, 'min': 87.0, 'max': 186.0}
{'avg': 151.53333333333333, 'std': 22.606021813274051, 'min': 87.0, 'max': 186.0}
{'avg': 153.47200000000001, 'std': 21.861226315099525, 'min': 87.0, 'max': 186.0}
{'avg': 155.13846153846154, 'std': 17.920660120977619, 'min': 87.0, 'max': 186.0}
{'avg': 154.0888888888889, 'std': 19.525279593641589, 'min': 87.0, 'max': 186.0}
{'avg': 155.11428571428573, 'std': 18.917899956800444, 'min': 87.0, 'max': 186.0}
{'avg': 154.66896551724139, 'std': 18.919450007466335, 'min': 87.0, 'max': 186.0}
{'avg': 155.33333333333334, 'std': 20.592123629085847, 'min': 87.0, 'max': 186.0}
{'avg': 112.93333333333334, 'std': 54.613144530923655, 'min': 31.0, 'max': 184.0}
{'avg': 129.88571428571427, 'std': 47.985576064105778, 'min': 31.0, 'max': 184.0}
{'avg': 127.15000000000001, 'std': 52.139979861906355, 'min': 31.0, 'max': 184.0}
{'avg': 135.80000000000001, 'std': 47.637333631885355, 'min': 31.0, 'max': 184.0}
{'avg': 136.62, 'std': 48.460660333924466, 'min': 31.0, 'max': 184.0}
{'avg': 134.34545454545454, 'std': 48.815503566282636, 'min': 31.0, 'max': 177.0}
{'avg': 141.44999999999999, 'std': 40.38499102389401, 'min': 31.0, 'max': 181.0}
{'avg': 142.83076923076922, 'std': 46.978086292610691, 'min': 31.0, 'max': 183.0}
{'avg': 146.17142857142858, 'std': 39.118490851905477, 'min': 31.0, 'max': 182.0}
{'avg': 147.56, 'std': 34.997234176431711, 'min': 31.0, 'max': 182.0}
{'avg': 145.30000000000001, 'std': 40.135208981641043, 'min': 31.0, 'max': 178.0}
{'avg': 151.83529411764707, 'std': 31.967206379929795, 'min': 31.0, 'max': 179.0}
{'avg': 148.17777777777778, 'std': 36.03904604045691, 'min': 31.0, 'max': 184.0}
{'avg': 148.32631578947368, 'std': 34.569363407887522, 'min': 31.0, 'max': 182.0}
{'avg': 151.15000000000001, 'std': 32.414001604245037, 'min': 31.0, 'max': 184.0}
{'avg': 152.91428571428571, 'std': 32.114709368498559, 'min': 31.0, 'max': 179.0}
{'avg': 153.80909090909091, 'std': 29.035243617039388, 'min': 31.0, 'max': 185.0}
{'avg': 153.89565217391305, 'std': 33.150348916268157, 'min': 31.0, 'max': 185.0}
{'avg': 152.38333333333333, 'std': 30.062208649546839, 'min': 31.0, 'max': 181.0}
{'avg': 151.72, 'std': 33.348247330257109, 'min': 31.0, 'max': 178.0}
{'avg': 153.69230769230768, 'std': 26.931493190014312, 'min': 31.0, 'max': 179.0}
{'avg': 154.4814814814815, 'std': 26.501670625705106, 'min': 31.0, 'max': 179.0}
{'avg': 154.59999999999999, 'std': 26.165899291143916, 'min': 31.0, 'max': 186.0}
{'avg': 154.31724137931033, 'std': 27.731148538900502, 'min': 31.0, 'max': 186.0}
{'avg': 150.89333333333335, 'std': 31.244017382888234, 'min': 31.0, 'max': 186.0}
{'avg': 118.40000000000001, 'std': 45.573091475855207, 'min': 46.0, 'max': 172.0}
{'avg': 129.08571428571429, 'std': 45.980972107148482, 'min': 46.0, 'max': 178.0}
{'avg': 137.42500000000001, 'std': 44.524649072171243, 'min': 46.0, 'max': 180.0}
{'avg': 138.9111111111111, 'std': 39.558014904818933, 'min': 40.0, 'max': 176.0}
{'avg': 142.46000000000001, 'std': 38.773810749009435, 'min': 40.0, 'max': 176.0}
{'avg': 150.8909090909091, 'std': 34.360480855600656, 'min': 40.0, 'max': 177.0}
{'avg': 146.53333333333333, 'std': 33.661286698850695, 'min': 40.0, 'max': 179.0}
{'avg': 145.92307692307693, 'std': 36.384826800491652, 'min': 40.0, 'max': 179.0}
{'avg': 148.85714285714286, 'std': 31.2877363991004, 'min': 40.0, 'max': 179.0}
{'avg': 147.45333333333335, 'std': 31.918351391567136, 'min': 40.0, 'max': 179.0}
{'avg': 146.0, 'std': 34.896274872828478, 'min': 40.0, 'max': 179.0}
{'avg': 152.15294117647059, 'std': 29.901212205351825, 'min': 40.0, 'max': 184.0}
{'avg': 150.03333333333333, 'std': 32.338642175851753, 'min': 40.0, 'max': 184.0}
{'avg': 153.49473684210525, 'std': 27.925040143856748, 'min': 40.0, 'max': 184.0}
{'avg': 153.41, 'std': 27.450353367488734, 'min': 40.0, 'max': 184.0}
{'avg': 152.61904761904762, 'std': 29.091114975564995, 'min': 40.0, 'max': 184.0}
{'avg': 153.54545454545453, 'std': 27.153314334328378, 'min': 40.0, 'max': 185.0}
{'avg': 154.19999999999999, 'std': 26.361104417056517, 'min': 40.0, 'max': 185.0}
{'avg': 153.15833333333333, 'std': 25.580590243820065, 'min': 40.0, 'max': 185.0}
{'avg': 152.88800000000001, 'std': 25.355146538720696, 'min': 40.0, 'max': 185.0}
{'avg': 153.49230769230769, 'std': 25.327773188232641, 'min': 40.0, 'max': 183.0}
{'avg': 151.65185185185186, 'std': 26.274707883217705, 'min': 40.0, 'max': 182.0}
{'avg': 158.11428571428573, 'std': 40.332207214278647, 'min': 40.0, 'max': 300.0}
{'avg': 156.48275862068965, 'std': 40.126541813458751, 'min': 40.0, 'max': 300.0}
{'avg': 155.01333333333332, 'std': 34.571469290281669, 'min': 40.0, 'max': 300.0}
